[+] Started: Thu Jul 30 09:13:55 UTC 2026
[+] Run ID: 30527074583
[+] Batch: batch-0005
[+] URL count: 75
[0:00:05] | Templates: 6780 | Hosts: 75 | RPS: 60 | Matched: 0 | Errors: 0 | Requests: 319/1125900 (0%)
[0:00:10] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 0 | Requests: 580/1125900 (0%)
[0:00:15] | Templates: 6780 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 0 | Requests: 840/1125900 (0%)
[0:00:20] | Templates: 6780 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 0 | Requests: 1103/1125900 (0%)
[0:00:25] | Templates: 6780 | Hosts: 75 | RPS: 54 | Matched: 0 | Errors: 0 | Requests: 1364/1125900 (0%)
[0:00:30] | Templates: 6780 | Hosts: 75 | RPS: 53 | Matched: 0 | Errors: 0 | Requests: 1630/1125900 (0%)
[0:00:35] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 10 | Requests: 2075/1125900 (0%)
[0:00:40] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 12 | Requests: 2355/1125900 (0%)
[0:00:45] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 12 | Requests: 2626/1125900 (0%)
[0:00:50] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 12 | Requests: 2915/1125900 (0%)
[0:00:55] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 3182/1125900 (0%)
[0:01:00] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 3458/1125900 (0%)
[0:01:05] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 12 | Requests: 3743/1125900 (0%)
[0:01:10] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 14 | Requests: 4050/1125900 (0%)
[0:01:15] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 16 | Requests: 4306/1125900 (0%)
[0:01:20] | Templates: 6780 | Hosts: 75 | RPS: 56 | Matched: 0 | Errors: 22 | Requests: 4534/1125900 (0%)
[0:01:25] | Templates: 6780 | Hosts: 75 | RPS: 55 | Matched: 0 | Errors: 24 | Requests: 4769/1125900 (0%)
[0:01:30] | Templates: 6780 | Hosts: 75 | RPS: 57 | Matched: 0 | Errors: 42 | Requests: 5189/1125900 (0%)
[0:01:35] | Templates: 6780 | Hosts: 75 | RPS: 58 | Matched: 0 | Errors: 42 | Requests: 5587/1125900 (0%)
